,CNN300k,Resnet,Densenet
accuracy,0.8184592127799988,0.3142639100551605,0.6979405283927917
precision,0.9189873337745667,0.8987341523170471,0.7757437229156494
recall,0.8962963223457336,0.17530864477157593,0.8370370268821716
